[INFO] [AnimationBootstrapper] NEWSCRIPTS_MODE ativo: AnimationBootstrapper ignorado.

NEWSCRIPTS_MODE ativo: DebugUtility.Initialize executando reset de estado.

<color=#A8DEED>[INFO] [DebugUtility] [OBS][RuntimeMode] LoggingPolicyApplied source='EarlyDefault' key='Editor|Enabled|global=True;verbose=True;default=Logs;repeated=True|fallbacks=True|EarlyDefault'</color>

[INFO] [DebugUtility] DebugUtility inicializado antes de todos os sistemas.

[INFO] [CompassRuntimeService] NEWSCRIPTS_MODE ativo: CompassRuntimeService ignorado.

<color=#A8DEED>[INFO] [DebugUtility] [OBS][RuntimeMode] LoggingPolicyApplied source='BootstrapPolicy' key='Editor|Enabled|global=True;verbose=True;default=Verbose;repeated=True|fallbacks=True|BootstrapPolicy'</color>

[VERBOSE] [GlobalCompositionRoot] NewScripts logging configured. (@ 3,19s)

[VERBOSE] [GameReadinessService] [Readiness] SceneTransitionCompleted â†’ gate liberado e fase NonGameplayReady marcada. gameplayReady=False. Context=Route='to-menu', RouteKind='Frontend', Style='TransitionStyle_Startup', Reason='Boot/StartPlan', Load=[UIGlobalScene, MenuScene], Unload=[NewBootstrap, GameplayScene], Active='MenuScene', UseFade=True, Profile='DefaultTransitionProfile', RequiresWorldReset=False, DecisionSource='routePolicy:Frontend', DecisionReason='RoutePolicy' (@ 5,77s)

[VERBOSE] [GameReadinessService] [Readiness] Snapshot publicado. gameplayReady=False, gateOpen=True, activeTokens=0, reason='scene_transition_completed_non_gameplay'. (@ 5,77s)

<color=#A8DEED>[VERBOSE] [GameLoopSceneFlowCoordinator] [GameLoopSceneFlow] TransitionCompleted recebido. expectedSignature='r:to-menu|rk:Frontend|a:MenuScene|f:1|l:UIGlobalScene|MenuScene|u:NewBootstrap|GameplayScene'. (@ 5,77s)</color>

<color=#A8DEED>[VERBOSE] [GameLoopSceneFlowCoordinator] [GameLoopSceneFlow] Sync concluido. routeId='to-menu' activeScene=''. Chamando RequestReady() no GameLoop (start via pipeline/IntroStageController). (@ 5,77s)</color>

<color=#4CAF50>[INFO] [SceneTransitionService] [SceneFlow] TransitionCompleted id=1 signature='r:to-menu|rk:Frontend|a:MenuScene|f:1|l:UIGlobalScene|MenuScene|u:NewBootstrap|GameplayScene' routeId='to-menu', style='TransitionStyle_Startup', profile='DefaultTransitionProfile'.</color>

[VERBOSE] [GameLoopService] [GameLoop] EXIT: Boot (@ 5,78s)

[VERBOSE] [GameLoopService] [GameLoop] ENTER: Ready (active=False) (@ 5,78s)

<color=#A8DEED>[VERBOSE] [MenuPlayButtonBinder] [OBS][LevelFlow] MenuPlay -> StartGameplayDefaultAsync reason='Menu/PlayButton'. (@ 6,57s)</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='to-gameplay', routeId='to-gameplay', asset='Route_to-gameplay'. (@ 6,57s)</color>

<color=#A8DEED>[INFO] [LevelFlowRuntimeService] [OBS][LevelFlow] StartGameplayDefaultRequested routeId='to-gameplay' source='navigation_core_slot' reason='Menu/PlayButton'.</color>

<color=#A8DEED>[VERBOSE] [GameNavigationCatalogAsset] [OBS][SceneFlow] RouteResolvedVia=AssetRef owner='GameNavigationCatalog', intentId='to-gameplay', routeId='to-gameplay', asset='Route_to-gameplay'. (@ 6,57s)</color>

<color=#A8DEED>[INFO] [GameNavigationService] [OBS][Navigation] StartGameplayRouteAsync without level selection; default will be selected in LevelPrepare.</color>

<color=#A8DEED>[INFO] [GameNavigationService] [OBS][Navigation] StartGameplayRouteRequested routeId='to-gameplay', reason='Menu/PlayButton', style='TransitionStyle_Gameplay', profile='DefaultTransitionProfile', profileAsset='DefaultTransitionProfile'.</color>

<color=#A8DEED>[INFO] [GameNavigationService] [OBS][Navigation] DispatchIntent -> intentId='to-gameplay', sceneRouteId='to-gameplay', style='TransitionStyle_Gameplay', reason='Menu/PlayButton', signature='r:to-gameplay|rk:Unspecified|a:|f:1|l:|u:', UseFade=True, Profile='DefaultTransitionProfile'.</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] RouteResolvedVia=RouteId routeId='to-gameplay' source='ISceneRouteResolver'.</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IRouteResetPolicy encontrado no escopo global (tipo registrado: IRouteResetPolicy). (@ 6,57s)

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] RouteApplied routeId='to-gameplay' scenesToLoadCount=2 activeScene='GameplayScene' transitionProfile='DefaultTransitionProfile' signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene'.</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] RouteAppliedPolicy routeId='to-gameplay' requiresWorldReset=True decisionSource='routePolicy:Gameplay' decisionReason='RoutePolicy' signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene'.</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [SceneFlow] TransitionStarted id=2 signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' routeId='to-gameplay', style='TransitionStyle_Gameplay', profile='DefaultTransitionProfile', reason='Menu/PlayButton', requestedBy='Menu/PlayButton' Route='to-gameplay', RouteKind='Gameplay', Style='TransitionStyle_Gameplay', Reason='Menu/PlayButton', Load=[UIGlobalScene, GameplayScene], Unload=[NewBootstrap, MenuScene], Active='GameplayScene', UseFade=True, Profile='DefaultTransitionProfile', RequiresWorldReset=True, DecisionSource='routePolicy:Gameplay', DecisionReason='RoutePolicy'</color>

<color=#A8DEED>[VERBOSE] [LoadingHudOrchestrator] [LoadingStart] signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' useFade=True. (@ 6,57s)</color>

<color=#A8DEED>[VERBOSE] [LoadingHudService] [LoadingHudEnsure] signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene'. (@ 6,57s)</color>

<color=#A8DEED>[VERBOSE] [SceneFlowInputModeBridge] [SceneFlowInputModeBridge] [GameLoop] SceneFlow/Started -> reset dedupe. signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene'. (@ 6,57s)</color>

[VERBOSE] [GameReadinessService] [Readiness] Snapshot publicado. gameplayReady=False, gateOpen=False, activeTokens=1, reason='gate_closed'. (@ 6,57s)

[VERBOSE] [SimulationGateService] [Gate] Acquire token='flow.scene_transition'. Active=1. IsOpen=False (@ 6,57s)

[VERBOSE] [GameReadinessService] [Readiness] SimulationGate adquirido com token='flow.scene_transition'. Active=1. IsOpen=False (@ 6,57s)

[VERBOSE] [GameReadinessService] [Readiness] SceneTransitionStarted â†’ gate adquirido e jogo marcado como NOT READY. Context=Route='to-gameplay', RouteKind='Gameplay', Style='TransitionStyle_Gameplay', Reason='Menu/PlayButton', Load=[UIGlobalScene, GameplayScene], Unload=[NewBootstrap, MenuScene], Active='GameplayScene', UseFade=True, Profile='DefaultTransitionProfile', RequiresWorldReset=True, DecisionSource='routePolicy:Gameplay', DecisionReason='RoutePolicy' (@ 6,57s)

[VERBOSE] [GameReadinessService] [Readiness] Snapshot publicado. gameplayReady=False, gateOpen=False, activeTokens=1, reason='scene_transition_started'. (@ 6,58s)

[VERBOSE] [SceneFlowFadeAdapter] [SceneFlow] Profile 'DefaultTransitionProfile' aplicado: fadeIn=0,5, fadeOut=0,5. (@ 6,58s)

[VERBOSE] [FadeController] [OBS][Fade] FadeStart signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' targetAlpha=1 dur=0,5 (@ 6,58s)

[INFO] [SceneTransitionService] [OBS][Fade] FadeInStarted id=2 signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' profile='DefaultTransitionProfile'.

[VERBOSE] [FadeController] [OBS][Fade] FadeComplete signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' targetAlpha=1 (@ 7,06s)

[INFO] [SceneTransitionService] [OBS][Fade] FadeInCompleted id=2 signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' profile='DefaultTransitionProfile'.

<color=#A8DEED>[VERBOSE] [LoadingHudService] [LoadingHudEnsure] signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene'. (@ 7,06s)</color>

<color=#A8DEED>[VERBOSE] [LoadingHudService] [LoadingHudShow] signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' phase='AfterFadeIn' message='<default>'. (@ 7,06s)</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] LoadedScenesSnapshot stage='before_apply_route' sceneCount=4 scenes=[name='FadeScene', isLoaded=True, buildIndex=1, isActive=False | name='LoadingHudScene', isLoaded=True, buildIndex=6, isActive=False | name='UIGlobalScene', isLoaded=True, buildIndex=2, isActive=False | name='MenuScene', isLoaded=True, buildIndex=3, isActive=True].</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] RouteExecutionPlan routeId='to-gameplay' activeScene='GameplayScene' toLoad=[UIGlobalScene, GameplayScene] toUnload=[NewBootstrap, MenuScene] reload=[<none>].</color>

[VERBOSE] [SceneTransitionService] [SceneFlow] Cena 'UIGlobalScene' ja esta carregada. Pulando load. (@ 7,06s)

[VERBOSE] [SceneTransitionService] [SceneFlow] Carregando cena 'GameplayScene' (Additive)... (@ 7,06s)

<color=#A8DEED>[VERBOSE] [GameplayEndConditionsController] [GameplayEndConditionsController] State reset. reason='OnEnable', startTime=2,496. (@ 7,08s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IGameRunEndRequestService encontrado no escopo global (tipo registrado: IGameRunEndRequestService). (@ 7,08s)

[VERBOSE] [GlobalServiceRegistry] Serviço IGameLoopService encontrado no escopo global (tipo registrado: IGameLoopService). (@ 7,08s)

[VERBOSE] [ServiceRegistry] Dicionário obtido do pool para serviços. (@ 7,08s)

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço ISceneScopeMarker registrado para a cena GameplayScene. (@ 7,08s)</color>

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço IWorldSpawnContext registrado para a cena GameplayScene. (@ 7,08s)</color>

[INFO] [SceneScopeCompositionRoot] WorldRoot ready: GameplayScene/WorldRoot

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço IActorRegistry registrado para a cena GameplayScene. (@ 7,08s)</color>

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço IWorldSpawnServiceRegistry registrado para a cena GameplayScene. (@ 7,08s)</color>

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço WorldLifecycleHookRegistry registrado para a cena GameplayScene. (@ 7,08s)</color>

[VERBOSE] [SceneScopeCompositionRoot] WorldLifecycleHookRegistry registrado para a cena 'GameplayScene'. (@ 7,08s)

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço IActorGroupRearmTargetClassifier registrado para a cena GameplayScene. (@ 7,08s)</color>

[VERBOSE] [SceneScopeCompositionRoot] IActorGroupRearmTargetClassifier registrado para a cena 'GameplayScene'. (@ 7,08s)

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço IActorGroupRearmOrchestrator registrado para a cena GameplayScene. (@ 7,08s)</color>

[VERBOSE] [SceneScopeCompositionRoot] IActorGroupRearmOrchestrator registrado para a cena 'GameplayScene'. (@ 7,08s)

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Serviço IActorGroupRearmWorldParticipant registrado para a cena GameplayScene. (@ 7,08s)</color>

[VERBOSE] [SceneScopeCompositionRoot] IActorGroupRearmWorldBridge registrado para a cena 'GameplayScene'. (@ 7,08s)

[VERBOSE] [SceneScopeCompositionRoot] Hook de cena registrado: WorldLifecycleHookLoggerA (@ 7,08s)

[INFO] [SceneScopeCompositionRoot] WorldDefinition loaded: WorldDefinition

[VERBOSE] [SceneScopeCompositionRoot] WorldDefinition entries count: 2 (@ 7,08s)

[VERBOSE] [SceneScopeCompositionRoot] Spawn entry #0: Enabled=True, Kind=Player, Prefab=Player_NewScripts (@ 7,08s)

[VERBOSE] [GlobalServiceRegistry] Serviço IUniqueIdFactory encontrado no escopo global (tipo registrado: IUniqueIdFactory). (@ 7,08s)

[VERBOSE] [GlobalServiceRegistry] Serviço IStateDependentService encontrado no escopo global (tipo registrado: IStateDependentService). (@ 7,08s)

[VERBOSE] [WorldSpawnServiceRegistry] Spawn service registrado: PlayerSpawnService (ordem 1). (@ 7,08s)

[VERBOSE] [SceneScopeCompositionRoot] Spawn entry #0 REGISTERED: PlayerSpawnService (Kind=Player, Prefab=Player_NewScripts) (@ 7,08s)

[VERBOSE] [SceneScopeCompositionRoot] Spawn entry #1: Enabled=True, Kind=Eater, Prefab=Eater_NewScripts (@ 7,08s)

[VERBOSE] [WorldSpawnServiceRegistry] Spawn service registrado: EaterSpawnService (ordem 2). (@ 7,08s)

[VERBOSE] [SceneScopeCompositionRoot] Spawn entry #1 REGISTERED: EaterSpawnService (Kind=Eater, Prefab=Eater_NewScripts) (@ 7,08s)

[INFO] [SceneScopeCompositionRoot] Spawn services registered from definition: 2

[VERBOSE] [SceneScopeCompositionRoot] Spawn services summary => Total=2, Enabled=2, Disabled=0, Created=2, FailedCreate=0 (@ 7,08s)

[INFO] [SceneScopeCompositionRoot] Scene scope created: GameplayScene

[VERBOSE] [GlobalServiceRegistry] Serviço ICameraResolver encontrado no escopo global (tipo registrado: ICameraResolver). (@ 7,08s)

<color=#A8DEED>[VERBOSE] [GameplayCameraBinder] ICameraResolver resolved in Awake. (@ 7,08s)</color>

<color=#A8DEED>[VERBOSE] [CameraResolverService] Camera registered for playerId=0: Main Camera. (@ 7,08s)</color>

<color=#A8DEED>[VERBOSE] [CameraResolverService] Default camera updated to Main Camera (playerId=0). (@ 7,08s)</color>

<color=#A8DEED>[INFO] [GameplayCameraBinder] Gameplay camera registrada (playerId=0): Main Camera.</color>

[VERBOSE] [GlobalServiceRegistry] Serviço ISimulationGateService encontrado no escopo global (tipo registrado: ISimulationGateService). (@ 7,09s)

[VERBOSE] [DependencyInjector] Injetando ISimulationGateService do escopo global para WorldLifecycleController. (@ 7,09s)

[VERBOSE] [DependencyInjector] Injeção bem-sucedida: ISimulationGateService -> WorldLifecycleController (implementação: SimulationGateService) (@ 7,09s)

[VERBOSE] [SceneServiceRegistry] Serviço IWorldSpawnServiceRegistry encontrado para a cena GameplayScene (tipo registrado: IWorldSpawnServiceRegistry). (@ 7,09s)

[VERBOSE] [DependencyInjector] Injetando IWorldSpawnServiceRegistry do escopo cena 'GameplayScene' para WorldLifecycleController. (@ 7,09s)

[VERBOSE] [DependencyInjector] Injeção bem-sucedida: IWorldSpawnServiceRegistry -> WorldLifecycleController (implementação: WorldSpawnServiceRegistry) (@ 7,09s)

[VERBOSE] [SceneServiceRegistry] Serviço IActorRegistry encontrado para a cena GameplayScene (tipo registrado: IActorRegistry). (@ 7,09s)

[VERBOSE] [DependencyInjector] Injetando IActorRegistry do escopo cena 'GameplayScene' para WorldLifecycleController. (@ 7,09s)

[VERBOSE] [DependencyInjector] Injeção bem-sucedida: IActorRegistry -> WorldLifecycleController (implementação: ActorRegistry) (@ 7,09s)

[VERBOSE] [SceneServiceRegistry] Serviço WorldLifecycleHookRegistry encontrado para a cena GameplayScene (tipo registrado: WorldLifecycleHookRegistry). (@ 7,09s)

[VERBOSE] [DependencyInjector] Injetando WorldLifecycleHookRegistry do escopo cena 'GameplayScene' para WorldLifecycleController. (@ 7,09s)

[VERBOSE] [DependencyInjector] Injeção bem-sucedida: WorldLifecycleHookRegistry -> WorldLifecycleController (implementação: WorldLifecycleHookRegistry) (@ 7,09s)

[INFO] [WorldLifecycleController] AutoInitializeOnStart desabilitado â€” aguardando acionamento externo (scene='GameplayScene').

[VERBOSE] [SceneTransitionService] [SceneFlow] Cena ativa definida para 'GameplayScene'. (@ 7,14s)

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] UnloadCandidate scene='NewBootstrap' exists=False isLoaded=False isActiveScene=False targetActiveScene='GameplayScene'.</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] SkipUnload scene='NewBootstrap' reason='already_unloaded' exists=False isLoaded=False isActiveScene=False.</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] UnloadCandidate scene='MenuScene' exists=True isLoaded=True isActiveScene=False targetActiveScene='GameplayScene'.</color>

[VERBOSE] [SceneTransitionService] [SceneFlow] Descarregando cena 'MenuScene'... (@ 7,14s)

<color=#A8DEED>[INFO] [SceneManagerLoaderAdapter] [OBS][SceneFlow] UnloadAttempt scene='MenuScene' exists=True isLoaded=True isActiveScene=False.</color>

[VERBOSE] [ServiceRegistry] Dicionário retornado ao pool. Tamanho do pool: 1. (@ 7,15s)

<color=#4CAF50>[VERBOSE] [SceneServiceRegistry] Removidos 8 serviços para a cena MenuScene. (@ 7,15s)</color>

[INFO] [SceneScopeCompositionRoot] Scene scope cleared: MenuScene

<color=#4CAF50>[VERBOSE] [SceneServiceCleaner] Cena MenuScene descarregada, serviços limpos. (@ 7,15s)</color>

<color=#A8DEED>[INFO] [SceneManagerLoaderAdapter] [OBS][SceneFlow] UnloadAttempt scene='MenuScene' result='completed' existsAfter=False isLoadedAfter=False.</color>

<color=#A8DEED>[INFO] [SceneTransitionService] [OBS][SceneFlow] LoadedScenesSnapshot stage='after_apply_route' sceneCount=4 scenes=[name='FadeScene', isLoaded=True, buildIndex=1, isActive=False | name='LoadingHudScene', isLoaded=True, buildIndex=6, isActive=False | name='UIGlobalScene', isLoaded=True, buildIndex=2, isActive=False | name='GameplayScene', isLoaded=True, buildIndex=5, isActive=True].</color>

[VERBOSE] [LoadingHudOrchestrator] [LoadingHudShow] skipped (already visible). signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' requestedPhase='ScenesReady' visiblePhase='AfterFadeIn'. (@ 7,15s)

<color=#A8DEED>[VERBOSE] [WorldLifecycleSceneFlowResetDriver] [OBS][WorldLifecycle] ResetPolicy routeId='to-gameplay' requiresWorldReset=True signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' reason='RoutePolicy' decisionSource='routePolicy:Gameplay'. (@ 7,15s)</color>

<color=#A8DEED>[VERBOSE] [WorldLifecycleSceneFlowResetDriver] [OBS][WorldLifecycle] ResetRequested signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' sourceSignature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' routeId='to-gameplay' routeKind='Gameplay' profileLabel='DefaultTransitionProfile' target='GameplayScene' decisionSource='routePolicy:Gameplay' reason='RoutePolicy'. (@ 7,15s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço WorldResetService encontrado no escopo global (tipo registrado: WorldResetService). (@ 7,15s)

<color=#A8DEED>[VERBOSE] [WorldLifecycleSceneFlowResetDriver] [WorldLifecycle] Usando WorldResetService (Lifecycle) para executar reset. signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene', targetScene='GameplayScene'. (@ 7,15s)</color>

[VERBOSE] [GlobalServiceRegistry] Serviço IWorldResetPolicy encontrado no escopo global (tipo registrado: IWorldResetPolicy). (@ 7,16s)

[VERBOSE] [GlobalServiceRegistry] Serviço ISimulationGateService encontrado no escopo global (tipo registrado: ISimulationGateService). (@ 7,16s)

<color=#A8DEED>[VERBOSE] [WorldResetOrchestrator] [ResetStart][OBS][WorldLifecycle] ResetWorldStarted signature='r:to-gameplay|rk:Gameplay|a:GameplayScene|f:1|l:UIGlobalScene|GameplayScene|u:NewBootstrap|MenuScene' reason='RoutePolicy'. (@ 7,16s)</color>

[INFO] [WorldLifecycleController] Processando reset. label='WorldReset(reason='RoutePolicy')', scene='GameplayScene'.

[INFO] [WorldLifecycleController] Reset iniciado. reason='RoutePolicy', scene='GameplayScene'.

[INFO] [WorldLifecycleController] Spawn services coletados para a cena 'GameplayScene': 2 (registry total: 2).

[INFO] [WorldLifecycleController] ActorRegistry count antes de orquestrar: 0

[INFO] [WorldLifecycleOrchestrator] World Reset Started

[INFO] [WorldLifecycleOrchestrator] ActorRegistry count at 'Reset start': 0

[VERBOSE] [SimulationGateService] [Gate] Acquire token='WorldLifecycle.WorldReset'. Active=2. IsOpen=False (@ 7,17s)

[INFO] [WorldLifecycleOrchestrator] Gate Acquired (WorldLifecycle.WorldReset)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeDespawn step started (hooks=1) (@ 7,17s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeDespawn execution order: WorldLifecycleHookLoggerA(order=10000) (@ 7,17s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeDespawn started: WorldLifecycleHookLoggerA (@ 7,17s)

[INFO] [WorldLifecycleHookLoggerA] [QA] WorldLifecycleHookLoggerA -> OnBeforeDespawnAsync

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeDespawn duration: WorldLifecycleHookLoggerA => 0ms (@ 7,17s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeDespawn completed: WorldLifecycleHookLoggerA (@ 7,17s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeDespawn step duration: 2ms (@ 7,17s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeDespawn step completed (@ 7,17s)

[INFO] [WorldLifecycleOrchestrator] Despawn started

[INFO] [WorldLifecycleOrchestrator] Despawn service started: PlayerSpawnService

[VERBOSE] [PlayerSpawnService] DespawnAsync iniciado (scene=GameplayScene). (@ 7,17s)

<color=cyan>[VERBOSE] [PlayerSpawnService] Despawn ignorado (no actor). (@ 7,17s)</color>

[VERBOSE] [WorldLifecycleOrchestrator] Despawn service duration: PlayerSpawnService => 0ms (@ 7,17s)

[INFO] [WorldLifecycleOrchestrator] Despawn service completed: PlayerSpawnService

[INFO] [WorldLifecycleOrchestrator] Despawn service started: EaterSpawnService

[VERBOSE] [EaterSpawnService] DespawnAsync iniciado (scene=GameplayScene). (@ 7,18s)

<color=cyan>[VERBOSE] [EaterSpawnService] Despawn ignorado (no actor). (@ 7,18s)</color>

[VERBOSE] [WorldLifecycleOrchestrator] Despawn service duration: EaterSpawnService => 0ms (@ 7,18s)

[INFO] [WorldLifecycleOrchestrator] Despawn service completed: EaterSpawnService

[VERBOSE] [WorldLifecycleOrchestrator] Despawn duration: 0ms (@ 7,18s)

[INFO] [WorldLifecycleOrchestrator] ActorRegistry count at 'After Despawn': 0

[VERBOSE] [WorldLifecycleOrchestrator] OnAfterDespawn step started (hooks=1) (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnAfterDespawn execution order: WorldLifecycleHookLoggerA(order=10000) (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnAfterDespawn started: WorldLifecycleHookLoggerA (@ 7,18s)

[VERBOSE] [WorldLifecycleHookLoggerA] [QA] WorldLifecycleHookLoggerA -> OnAfterDespawnAsync (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnAfterDespawn duration: WorldLifecycleHookLoggerA => 0ms (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnAfterDespawn completed: WorldLifecycleHookLoggerA (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnAfterDespawn step duration: 0ms (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnAfterDespawn step completed (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeSpawn step started (hooks=1) (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeSpawn execution order: WorldLifecycleHookLoggerA(order=10000) (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeSpawn started: WorldLifecycleHookLoggerA (@ 7,18s)

[VERBOSE] [WorldLifecycleHookLoggerA] [QA] WorldLifecycleHookLoggerA -> OnBeforeSpawnAsync (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeSpawn duration: WorldLifecycleHookLoggerA => 0ms (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeSpawn completed: WorldLifecycleHookLoggerA (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeSpawn step duration: 0ms (@ 7,18s)

[VERBOSE] [WorldLifecycleOrchestrator] OnBeforeSpawn step completed (@ 7,18s)

[INFO] [WorldLifecycleOrchestrator] Spawn started

[INFO] [WorldLifecycleOrchestrator] Spawn service started: PlayerSpawnService

[VERBOSE] [PlayerSpawnService] SpawnAsync iniciado (scene=GameplayScene). (@ 7,18s)

[VERBOSE] [GlobalServiceRegistry] Serviço IUniqueIdFactory encontrado no escopo global (tipo registrado: IUniqueIdFactory). (@ 7,19s)

[VERBOSE] [GlobalServiceRegistry] Serviço IStateDependentService encontrado no escopo global (tipo registrado: IStateDependentService). (@ 7,19s)

[VERBOSE] [PlayerMovementController] [Movement][Gate] GateChanged: open=False, scene='GameplayScene', actor='A_f4d3bf2f_1_Player_NewScriptsClone'. (@ 7,19s)

[VERBOSE] [StateDependentService] [StateDependent] Action 'Move' bloqueada: GateClosed (gateOpen=False, gameplayReady=False, paused=False, serviceState=Ready, gameLoopState='Ready', activeTokens=2). (@ 7,20s)

[VERBOSE] [ActorRegistry] Ator registrado: A_f4d3bf2f_1_Player_NewScriptsClone. (@ 7,20s)

[INFO] [PlayerSpawnService] Actor spawned: A_f4d3bf2f_1_Player_NewScriptsClone (prefab=Player_NewScripts, instance=Player_NewScripts, root=WorldRoot, scene=GameplayScene)

[INFO] [PlayerSpawnService] Registry count: 1

[VERBOSE] [WorldLifecycleOrchestrator] Spawn service duration: PlayerSpawnService => 20ms (@ 7,20s)

[INFO] [WorldLifecycleOrchestrator] Spawn service completed: PlayerSpawnService

[INFO] [WorldLifecycleOrchestrator] Spawn service started: EaterSpawnService

[VERBOSE] [EaterSpawnService] SpawnAsync iniciado (scene=GameplayScene). (@ 7,20s)

[VERBOSE] [ActorRegistry] Ator registrado: A_f4d3bf2f_2_Eater_NewScriptsClone. (@ 7,20s)

[INFO] [EaterSpawnService] Actor spawned: A_f4d3bf2f_2_Eater_NewScriptsClone (prefab=Eater_NewScripts, instance=Eater_NewScripts, root=WorldRoot, scene=GameplayScene)

[INFO] [EaterSpawnService] Registry count: 2

